GEOID,school_enroll
51540000201,85
51540000202,89.6
51540000302,71.9
51540000401,83.6
51540000402,90.4
51540000501,83.7
51540000502,78.8
51540000600,93.5
51540000700,96
51540000800,77.4
51540000900,89.8
51540001000,70.4
