GEOID,bac,less,tot,perc_bac
51003010100,1864,2056,3920,47.55102040816326
51003010201,1693,1666,3359,50.401905328966954
51003010202,1594,701,2295,69.45533769063181
51003010300,3129,2758,5887,53.15101070154577
51003010401,1419,1730,3149,45.061924420450936
51003010402,1519,943,2462,61.69780666125102
51003010500,2701,1582,4283,63.06327340649078
51003010601,2235,2082,4317,51.77206393328701
51003010602,2097,1089,3186,65.81920903954803
51003010700,1715,2484,4199,40.84305787092165
51003010800,2423,1909,4332,55.932594644506004
51003010901,1153,111,1264,91.21835443037975
51003010902,392,239,631,62.12361331220285
51003010903,88,176,264,33.33333333333333
51003011000,3790,1032,4822,78.59809207797595
51003011100,3659,2047,5706,64.12548194882581
51003011201,1442,1387,2829,50.972074938140686
51003011202,1820,836,2656,68.52409638554217
51003011301,1663,2839,4502,36.939138160817414
51003011302,1112,1430,2542,43.74508261211644
51003011303,1739,1150,2889,60.19383869851159
51003011400,968,2475,3443,28.115015974440894
