GEOID,school_enroll
51003010100,84.9
51003010201,89.9
51003010202,92
51003010300,83.1
51003010401,65.1
51003010402,87.3
51003010500,86.6
51003010601,64.9
51003010602,83.6
51003010700,70.8
51003010800,75
51003010901,95.7
51003010902,96.8
51003010903,100
51003011000,90.3
51003011100,94.4
51003011201,82.6
51003011202,92.8
51003011301,71.2
51003011302,75.1
51003011303,64.8
51003011400,82.4
