sex,age_group,estimate
Female,10 to 14 years,2941
Female,15 to 19 years,5022
Female,20 to 24 years,3539
Female,25 to 34 years,7025
Female,35 to 44 years,6242
Female,45 to 54 years,6791
Female,5 to 9 years,2991
Female,55 to 59 years,3949
Female,60 to 64 years,3852
Female,65 to 74 years,5887
Female,75 to 84 years,3338
Female,85 years and over,1607
Female,Under 5 years,2858
Male,10 to 14 years,2969
Male,15 to 19 years,4530
Male,20 to 24 years,3472
Male,25 to 34 years,6822
Male,35 to 44 years,6173
Male,45 to 54 years,6195
Male,5 to 9 years,3221
Male,55 to 59 years,3337
Male,60 to 64 years,3211
Male,65 to 74 years,5067
Male,75 to 84 years,2316
Male,85 years and over,1125
Male,Under 5 years,2925
