geoid,denom,Burdened,Severely Burdened,Not Burdened,total_renting,total_households,Renting
51003,13786,0.22435804439286233,0.23284491513129263,0.5427970404758451,15231,41496,0.36704742625795256
51065,1167,0.14138817480719795,0.23221936589545844,0.6263924592973437,1491,9923,0.15025697873626928
51079,1382,0.22069464544138928,0.09479015918958032,0.6845151953690304,1691,7548,0.22403285638579756
51109,2380,0.28025210084033614,0.2008403361344538,0.5189075630252101,2768,13871,0.19955302429529234
51125,1033,0.18489835430784124,0.20813165537270087,0.6069699903194579,1515,6419,0.23601807135067768
51540,9737,0.2568552942384718,0.2748279757625552,0.468316729998973,10640,18617,0.5715206531664607
