fips,county,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
00000,United States,32.1,12.4,88,35117,79.089130214,77.3,5.453804255833331,5.500000000000002,4.942857142857142,5.314285714285715,4.93483260558395,5.234307525234332
51000,total,38.8,16.8,89.7,39330,79.478556461,77.4,5.616065192083331,6.353333333333332,4.971428571428573,5.892698412698412,5.720349305892649,5.743037636891464
51003,Albemarle,55.1,26.7,92.1,40124,83.0042709,84.2,7.085112874999998,8.26,6.914285714285715,7.811428571428571,5.858918313182891,6.918486586537154
51065,Fluvanna,33.9,15.2,91.1,40819,80.728037886,75,6.136682452499999,6.013333333333333,4.285714285714286,5.437460317460317,5.977977549582441,5.85070677318092
51079,Greene,29,14.5,86.1,37831,79.894073332,79.2,5.789197221666669,5.3066666666666675,5.485714285714286,5.366349206349207,5.450944498526247,5.53549697551404
51109,Louisa,24.1,9.8,85.2,34281,78.133201156,73.4,5.055500481666666,4.606666666666667,3.82857142857143,4.3473015873015886,4.767790004517761,4.723530691162005
51125,Nelson,30.4,13.3,85.7,32220,78.04309464,79.4,5.017956100000003,5.293333333333333,5.5428571428571445,5.376507936507936,4.337921295729957,4.9107951107459655
51540,Charlottesville City,54.9,28.5,91.1,31970,79.751236188,87.3,5.729681744999997,8.299999999999999,7.799999999999999,8.133333333333333,4.283917816481643,6.048977631604991
