GEOID,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
51065020101,26.7,10.8,86.1,37176,77.9,72.6,4.958333333333336,4.906666666666668,3.5999999999999983,4.471111111111112,5.329857516245511,4.919767320229986
51065020102,46.7,22.8,97.2,45444,85.3,73.1,8.041666666666666,7.78,3.742857142857141,6.434285714285713,6.722110864817089,7.066021081923156
51065020200,23,8.1,90,39557,76.8,80.5,4.499999999999999,4.74,5.857142857142858,5.112380952380953,5.760248904546783,5.124209952309245
51065020300,28.3,12.3,86.4,36497,NA,77,NA,5.1333333333333355,4.857142857142857,5.041269841269843,5.202060525271314,NA
