GEOID,bac,less,tot,perc_bac
51065020101,1202,3303,4505,26.681465038845726
51065020102,3412,3893,7305,46.70773442847364
51065020200,807,2701,3508,23.004561003420754
51065020300,1123,2844,3967,28.30854550037812
