geoid,denom,Burdened,Severely Burdened,Not Burdened,total_renting,total_households,Renting,county_type
51065020101,208,0.22115384615384615,0.23076923076923078,0.5480769230769231,286,1866,0.1532690246516613,Census Tracts
51065020102,326,0.15030674846625766,0.3159509202453988,0.5337423312883436,441,4040,0.10915841584158416,Census Tracts
51065020200,179,0.12290502793296089,0.08379888268156424,0.7932960893854749,286,1926,0.14849428868120457,Census Tracts
51065020300,454,0.10572687224669604,0.23127753303964757,0.6629955947136564,478,2091,0.22859875657580106,Census Tracts
