Race,Sex,degree,percent
HISPANIC OR LATINO,Male,Less than high school diploma,13.857677902621724
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Less than high school diploma,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Less than high school diploma,0
SOME OTHER RACE ALONE,Female,Less than high school diploma,10
SOME OTHER RACE ALONE,Male,Less than high school diploma,0
TWO OR MORE RACES,Female,Less than high school diploma,12.162162162162163
TWO OR MORE RACES,Male,Less than high school diploma,0
WHITE ALONE,Female,Less than high school diploma,8.113403249971189
WHITE ALONE,Male,Less than high school diploma,7.488191164212281
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Less than high school diploma,7.386833707599575
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Less than high school diploma,7.514615713674604
All,Female,Less than high school diploma,8.785094435936703
All,Male,Less than high school diploma,8.217438242204866
All,All,Less than high school diploma,8.532133457848714
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Some college or associate's degree,0
ASIAN ALONE,All,Some college or associate's degree,20.095693779904305
BLACK OR AFRICAN AMERICAN ALONE,All,Some college or associate's degree,26.709863210943123
HISPANIC OR LATINO,All,Some college or associate's degree,13.667820069204154
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Some college or associate's degree,0
SOME OTHER RACE ALONE,All,Some college or associate's degree,41.55844155844156
TWO OR MORE RACES,All,Some college or associate's degree,43.00699300699301
WHITE ALONE,All,Some college or associate's degree,34.21102362204724
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Some college or associate's degree,34.826160010339926
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Some college or associate's degree,0
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Some college or associate's degree,NA
ASIAN ALONE,Female,Some college or associate's degree,28.767123287671232
ASIAN ALONE,Male,Some college or associate's degree,0
BLACK OR AFRICAN AMERICAN ALONE,Female,Some college or associate's degree,34.468584850264236
