GEOID,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
51125950100,10.8,4.5,73.5,29739,73.3,78.8,3.041666666666665,2.5866666666666664,5.37142857142857,3.5149206349206343,3.782398921529434,3.4463287410389114
51125950200,49.6,23.1,93.4,33361,82.4,76,6.833333333333336,7.740000000000001,4.571428571428571,6.683809523809525,4.57918853122711,6.032110462789991
51125950300,28,10.8,89.7,34114,77.6,82.4,4.833333333333331,5.233333333333334,6.400000000000001,5.622222222222224,4.733933673499707,5.063163076351754
