GEOID,NAME,variable,estimate,moe
51125950100,"Census Tract 9501, Nelson County, Virginia",S1901_C01_012,47073,12916
51125950200,"Census Tract 9502, Nelson County, Virginia",S1901_C01_012,77344,12115
51125950300,"Census Tract 9503, Nelson County, Virginia",S1901_C01_012,69063,8658
