GEOID,NAME,variable,estimate,moe
51109950100,"Census Tract 9501, Louisa County, Virginia",S1901_C01_012,75425,12130
51109950201,"Census Tract 9502.01, Louisa County, Virginia",S1901_C01_012,44531,8436
51109950202,"Census Tract 9502.02, Louisa County, Virginia",S1901_C01_012,71705,13466
51109950300,"Census Tract 9503, Louisa County, Virginia",S1901_C01_012,60942,7403
51109950400,"Census Tract 9504, Louisa County, Virginia",S1901_C01_012,59938,19296
51109950500,"Census Tract 9505, Louisa County, Virginia",S1901_C01_012,60816,6123
