GEOID,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
51109950100,24.1,11.3,89,38980,79.8,76.5,5.749999999999998,4.96,4.714285714285714,4.878095238095238,5.658376576450056,5.428823938181765
51109950201,27.6,13.8,81.5,25880,75.9,75.2,4.125000000000003,4.86,4.342857142857143,4.687619047619048,2.8187987568790773,3.8771392681660433
51109950202,26.3,7,83.5,35547,80,66.9,5.833333333333334,4.453333333333333,1.971428571428573,3.626031746031747,5.019209300648431,4.826191460004504
51109950300,25.1,10,85.4,36085,77.6,75.2,4.833333333333331,4.7,4.342857142857143,4.580952380952381,5.123352346862825,4.845879353716179
51109950400,30.3,11.9,80.1,36518,76,69.8,4.166666666666667,4.819999999999999,2.799999999999999,4.146666666666666,5.206048515899326,4.5064606164108865
51109950500,14.1,4.8,87.7,33634,76.1,71.2,4.208333333333331,3.7733333333333334,3.2000000000000006,3.5822222222222226,4.635691279374651,4.142082278310068
