GEOID,bac_deg,grad_deg,hs_grad,pers_earn,life_exp,school_enroll,ahdi_health,ahdi_ed_attainment,ahdi_ed_enroll,ahdi_ed,ahdi_income,ahdi
51079030101,22.3,9.2,80.2,32256,75.2,68.4,3.833333333333335,4.113333333333335,2.4000000000000017,3.542222222222224,4.345663263716297,3.907072939757285
51079030102,23.8,11.3,82.1,30244,84.7,76,7.791666666666668,4.4799999999999995,4.571428571428571,4.51047619047619,3.899139104173947,5.4004273204389355
51079030200,34.3,18.1,90.4,42062,81.6,84.4,6.499999999999998,6.186666666666666,6.971428571428573,6.448253968253968,6.185945121862851,6.378066363372272
