geoid,denom,Burdened,Severely Burdened,Not Burdened,total_renting,total_households,Renting,county_type
51079030101,331,0.22356495468277945,0.24471299093655588,0.5317220543806647,398,1531,0.2599608099281515,Census Tracts
51079030102,250,0.144,0.084,0.772,416,1966,0.2115971515768057,Census Tracts
51079030200,801,0.24344569288389514,0.03620474406991261,0.7203495630461922,877,4051,0.2164897556158973,Census Tracts
